"","species_name","range_size","aoo","sexual_system"
"2257","Allocasuarina diminuta",34,80000,NA
"2258","Allocasuarina distyla",41,95000,"dioecy"
"2259","Allocasuarina duncanii",2,5000,"dioecy"
"2260","Allocasuarina eriochlamys",1,2500,NA
"2261","Allocasuarina fibrosa",NA,NA,"dioecy"
"2262","Allocasuarina fraseriana",21,45000,"dioecy"
"2263","Allocasuarina glareicola",2,2500,NA
"2264","Allocasuarina globosa",NA,NA,"dioecy"
"2265","Allocasuarina grampiana",4,7500,"dioecy"
"2266","Allocasuarina grevilleoides",1,2500,"dioecy"
"2267","Allocasuarina gymnanthera",20,50000,"dioecy"
"2268","Allocasuarina helmsii",31,65000,"dioecy"
"2269","Allocasuarina huegeliana",42,110000,"dioecy"
"2270","Allocasuarina humilis",72,177500,NA
"2271","Allocasuarina inophloia",56,125000,"dioecy"
"2272","Allocasuarina lehmanniana",5,12500,"dioecy"
"2273","Allocasuarina littoralis",277,735000,"dioecy"
"2274","Allocasuarina luehmannii",278,660000,"dioecy"
"2275","Allocasuarina mackliniana",22,52500,"dioecy"
"2276","Allocasuarina media",4,7500,"dioecy"
"2277","Allocasuarina microstachya",33,77500,"dioecy"
"2278","Allocasuarina misera",33,85000,NA
"2279","Allocasuarina monilifera",65,147500,"monoecy"
"2280","Allocasuarina muelleriana",62,160000,"dioecy"
"2281","Allocasuarina nana",35,77500,"dioecy"
"2282","Allocasuarina ophiolitica",2,5000,"dioecy"
"2283","Allocasuarina paludosa",88,210000,NA
"2284","Allocasuarina paradoxa",20,50000,"dioecy"
"2285","Allocasuarina pinaster",6,10000,"dioecy"
"2286","Allocasuarina portuensis",1,2500,"dioecy"
"2287","Allocasuarina pusilla",71,170000,"dioecy"
"2288","Allocasuarina ramosissima",1,2500,"dioecy"
"2289","Allocasuarina rigida",10,25000,"dioecy"
"2290","Allocasuarina rupicola",2,2500,"dioecy"
"2291","Allocasuarina scleroclada",2,7500,"dioecy"
"2292","Allocasuarina simulans",1,2500,"dioecy"
"2293","Allocasuarina spinosissima",6,12500,"monoecy"
"2294","Allocasuarina striata",13,27500,NA
"2295","Allocasuarina tessellata",NA,NA,"dioecy"
"2296","Allocasuarina thalassoscopica",12,22500,NA
"2297","Allocasuarina thuyoides",26,60000,NA
"2298","Allocasuarina tortiramula",NA,NA,"dioecy"
"2299","Allocasuarina torulosa",160,410000,"dioecy"
"2300","Allocasuarina trichodon",5,10000,"dioecy"
"2301","Allocasuarina verticillata",314,837500,"dioecy"
"2302","Allocasuarina zephyrea",23,52500,NA
"2303","Allolepis texana",NA,NA,"dioecy"
"2304","Allomaieta caucana",NA,NA,NA
"2305","Allomaieta ebejicosana",NA,NA,NA
"2306","Allomaieta grandiflora",1,2500,NA
"2307","Allomaieta hirsuta",2,2500,NA
"2308","Allomaieta pancurana",1,2500,NA
"2309","Allomaieta villosa",2,5000,NA
"2310","Allomaieta zenufanasana",NA,NA,NA
"2311","Allomarkgrafia brenesiana",2,5000,NA
"2312","Allomarkgrafia plumeriiflora",1,2500,NA
"2313","Alloneuron ulei",NA,NA,NA
"2314","Allophyllum divaricatum",21,52500,"hermaphroditism"
"2315","Allophyllum gilioides",39,97500,"hermaphroditism"
"2316","Allophyllum glutinosum",25,57500,"hermaphroditism"
"2317","Allophyllum integrifolium",12,30000,"hermaphroditism"
"2318","Allophylus africanus",184,435000,"hermaphroditism"
"2319","Allophylus angustatus",8,17500,NA
"2320","Allophylus arboreus",NA,NA,NA
"2321","Allophylus bullatus",3,5000,NA
"2322","Allophylus cobbe",187,437500,NA
"2323","Allophylus decipiens",21,57500,"hermaphroditism"
"2324","Allophylus ferrugineus",17,32500,NA
"2325","Allophylus hirtellus",NA,NA,NA
"2326","Allophylus javensis",NA,NA,NA
"2327","Allophylus natalensis",29,70000,"hermaphroditism"
"2328","Allophylus psilospermus",15,35000,NA
"2329","Allophylus racemosus",18,42500,NA
"2330","Allophylus spicatus",65,147500,NA
"2331","Alloschemone occidentalis",1,2500,NA
"2332","Allosidastrum pyramidatum",6,12500,"hermaphroditism"
"2333","Allospondias lakonensis",2,5000,NA
"2334","Allosyncarpia ternata",15,35000,NA
"2335","Alloteropsis angusta",NA,NA,NA
"2336","Alloteropsis paniculata",14,35000,NA
"2337","Alloteropsis papillosa",NA,NA,NA
"2338","Allotropa virgata",123,295000,"hermaphroditism"
"2339","Almaleea paludosa",22,42500,NA
"2340","Almedanthus pachytrichus",NA,NA,NA
"2341","Alnus acuminata",153,367500,"monoecy"
"2342","Alnus alnobetula",NA,NA,"monoecy"
"2343","Alnus cremastogyne",1,2500,"monoecy"
"2344","Alnus fauriei",9,22500,"monoecy"
"2345","Alnus firma",92,232500,"monoecy"
"2346","Alnus formosana",19,50000,"monoecy"
"2347","Alnus glutinosa",2957,9767500,"monoecy"
"2348","Alnus henryi",NA,NA,"monoecy"
"2349","Alnus hirsuta",403,1097500,"monoecy"
"2350","Alnus incana",2694,9292500,"monoecy"
"2351","Alnus jorullensis",27,70000,NA
"2352","Alnus lanata",NA,NA,"monoecy"
"2353","Alnus mandschurica",18,45000,NA
"2354","Alnus maritima",6,17500,"monoecy"
"2355","Alnus matsumurae",12,30000,NA
"2356","Alnus maximowiczii",60,152500,NA
"2357","Alnus mayrii",5,12500,NA
"2358","Alnus nepalensis",52,107500,"monoecy"
"2359","Alnus nitida",2,2500,NA
"2360","Alnus oblongifolia",26,60000,"monoecy"
"2361","Alnus orientalis",9,22500,NA
"2362","Alnus pendula",49,97500,"monoecy"
"2363","Alnus rhombifolia",102,237500,"monoecy"
"2364","Alnus rubra",247,715000,"monoecy"
"2365","Alnus serrulata",415,1107500,"monoecy"
"2366","Alnus serrulatoides",10,27500,"monoecy"
"2367","Alnus sieboldiana",35,77500,"monoecy"
"2368","Alnus subcordata",11,25000,NA
"2369","Alnus trabeculosa",6,15000,"monoecy"
"2370","Alocasia odora",169,417500,"monoecy"
"2371","Alopecurus aequalis",2517,8235000,"hermaphroditism"
"2372","Alopecurus geniculatus",1948,6902500,"hermaphroditism"
"2373","Alopecurus gerardi",31,77500,NA
"2374","Alopecurus japonicus",35,92500,"hermaphroditism"
"2375","Alopecurus magellanicus",NA,NA,"hermaphroditism"
"2376","Alopecurus myosuroides",935,2872500,"hermaphroditism"
"2377","Alopecurus pratensis",3192,9762500,NA
"2378","Alopecurus textilis",9,20000,NA
"2379","Alopecurus vaginatus",33,97500,NA
"2380","Alphitonia carolinensis",2,2500,NA
"2381","Alphitonia ferruginea",9,20000,NA
"2382","Alphitonia macrocarpa",28,67500,NA
"2383","Alphitonia marquesensis",NA,NA,NA
"2384","Alphitonia neocaledonica",11,27500,NA
"2385","Alphitonia oblata",47,107500,NA
"2386","Alphitonia petriei",33,67500,NA
"2387","Alphitonia philippinensis",45,115000,NA
"2388","Alphitonia ponderosa",5,7500,"hermaphroditism"
"2389","Alphitonia zizyphoides",8,17500,"hermaphroditism"
"2390","Alphonsea boniana",1,2500,"hermaphroditism"
"2391","Alphonsea elliptica",2,5000,NA
"2392","Alphonsea kinabaluensis",NA,NA,NA
"2393","Alsomitra macrocarpa",19,42500,NA
"2394","Alstonia scholaris",396,975000,"hermaphroditism"
"2395","Althaea armeniaca",32,77500,NA
"2396","Althaea cannabina",444,1232500,"hermaphroditism"
"2397","Althaea officinalis",1644,5035000,"hermaphroditism"
"2398","Alvaradoa amorphoides",70,185000,"dioecy"
"2399","Alvimia gracilis",NA,NA,NA
"2400","Alvimiantha tricamerata",NA,NA,NA
"2401","Alyogyne hakeifolia",40,92500,NA
"2402","Alysicarpus ferrugineus",15,37500,NA
"2403","Alysicarpus longifolius",2,5000,NA
"2404","Alysicarpus monilifer",39,87500,"hermaphroditism"
"2405","Alysicarpus ovalifolius",569,1387500,"hermaphroditism"
"2406","Alysicarpus quartinianus",3,7500,NA
"2407","Alysicarpus rugosus",214,537500,"hermaphroditism"
"2408","Alysicarpus vaginalis",558,1387500,"hermaphroditism"
"2409","Alysicarpus zeyheri",12,27500,NA
"2410","Alyssoides utriculata",85,222500,"hermaphroditism"
"2411","Alyssopsis mollis",NA,NA,NA
"2412","Alyssopsis trinervis",NA,NA,NA
"2413","Alyssum alyssoides",1133,3367500,"hermaphroditism"
"2414","Alyssum aurantiacum",NA,NA,NA
"2415","Alyssum baumgartnerianum",1,2500,NA
"2416","Alyssum caespitosum",NA,NA,NA
"2417","Alyssum contemptum",NA,NA,NA
"2418","Alyssum corningii",NA,NA,NA
"2419","Alyssum cuneifolium",17,45000,"hermaphroditism"
"2420","Alyssum dasycarpum",15,32500,"hermaphroditism"
"2421","Alyssum desertorum",759,1975000,"hermaphroditism"
"2422","Alyssum diffusum",15,35000,NA
"2423","Alyssum doerfleri",NA,NA,NA
"2424","Alyssum erosulum",NA,NA,NA
"2425","Alyssum fastigiatum",27,55000,NA
"2426","Alyssum foliosum",2,5000,NA
"2427","Alyssum granatense",171,447500,NA
"2428","Alyssum harputicum",NA,NA,NA
"2429","Alyssum hirsutum",77,195000,NA
"2430","Alyssum iranicum",NA,NA,NA
"2431","Alyssum lenense",319,867500,NA
"2432","Alyssum lepidotostellatum",NA,NA,NA
"2433","Alyssum lepidotum",NA,NA,NA
"2434","Alyssum loiseleurii",17,40000,NA
"2435","Alyssum minutum",58,137500,NA
"2436","Alyssum misirdalianum",NA,NA,NA
"2437","Alyssum montanum",310,777500,"hermaphroditism"
"2438","Alyssum niveum",NA,NA,NA
"2439","Alyssum ochroleucum",NA,NA,NA
"2440","Alyssum orophilum",12,17500,NA
"2441","Alyssum paphlagonicum",NA,NA,NA
"2442","Alyssum persicum",NA,NA,NA
"2443","Alyssum pluscanescens",NA,NA,NA
"2444","Alyssum praecox",NA,NA,NA
"2445","Alyssum pseudomouradicum",NA,NA,NA
"2446","Alyssum repens",5,10000,"hermaphroditism"
"2447","Alyssum serpyllifolium",26,72500,NA
"2448","Alyssum siculum",1,2500,NA
"2449","Alyssum simplex",444,1255000,"hermaphroditism"
"2450","Alyssum stapfii",NA,NA,NA
"2451","Alyssum strigosum",34,90000,"hermaphroditism"
"2452","Alyssum sulphureum",NA,NA,NA
"2453","Alyssum szovitsianum",13,30000,"hermaphroditism"
"2454","Alyssum tenium",NA,NA,NA
"2455","Alyssum tetrastemon",NA,NA,NA
"2456","Alyssum thymops",NA,NA,NA
"2457","Alyssum trichostachyum",21,52500,NA
"2458","Alyssum turkestanicum",759,1975000,"hermaphroditism"
"2459","Alyssum umbellatum",17,40000,NA
"2460","Alyssum wulfenianum",6,10000,"hermaphroditism"
"2461","Alyssum xanthocarpum",NA,NA,NA
"2462","Alyxia grandis",NA,NA,NA
"2463","Alyxia oblongata",126,3e+05,NA
"2464","Alyxia reinwardtii",1,2500,"hermaphroditism"
"2465","Alyxia spicata",135,295000,NA
"2466","Alzatea verticillata",6,15000,NA
"2467","Amalocalyx microlobus",10,22500,"hermaphroditism"
"2468","Amanoa caribaea",1,2500,NA
"2469","Amanoa strobilacea",9,20000,NA
"2470","Ambavia gerrardi",6,15000,NA
"2471","Ambelania acida",14,32500,NA
"2472","Ambilobea madagascariensis",2,2500,NA
"2473","Amblygonocarpus andongensis",37,87500,"hermaphroditism"
"2474","Ambrosina bassii",17,32500,NA
"2475","Amelanchier alnifolia",1083,3157500,"hermaphroditism"
"2476","Amelanchier arborea",636,1685000,"hermaphroditism"
"2477","Amelanchier asiatica",32,75000,"hermaphroditism"
"2478","Amelanchier bartramiana",145,362500,"hermaphroditism"
"2479","Amelanchier canadensis",111,302500,"hermaphroditism"
"2480","Amelanchier interior",12,27500,"hermaphroditism"
"2481","Amelanchier intermedia",11,27500,"hermaphroditism"
"2482","Amelanchier laevis",205,547500,"hermaphroditism"
"2483","Amelanchier lamarckii",401,1310000,NA
"2484","Amelanchier neglecta",9,20000,"hermaphroditism"
"2485","Amelanchier obovalis",7,15000,"hermaphroditism"
"2486","Amelanchier ovalis",686,2042500,"hermaphroditism"
"2487","Amelanchier pallida",2,5000,"hermaphroditism"
"2488","Amelanchier sanguinea",36,82500,NA
"2489","Amelanchier sinica",1,2500,"hermaphroditism"
"2490","Amelanchier stolonifera",60,152500,"hermaphroditism"
"2491","Amelanchier utahensis",245,620000,"hermaphroditism"
"2492","Amherstia nobilis",19,42500,"hermaphroditism"
"2493","Amicia andicola",2,5000,NA
"2494","Amicia fimbriata",NA,NA,NA
"2495","Amicia glandulosa",5,10000,NA
"2496","Amicia lobbiana",1,2500,NA
"2497","Amicia medicaginea",NA,NA,NA
"2498","Amicia micrantha",NA,NA,NA
"2499","Amicia zygomeris",15,40000,"hermaphroditism"
"2500","Ammandra decasperma",9,20000,NA
"2501","Ammannia auriculata",391,1e+06,"hermaphroditism"
"2502","Ammannia baccifera",152,380000,"hermaphroditism"
"2503","Ammannia coccinea",445,1150000,"hermaphroditism"
"2504","Ammannia latifolia",55,125000,"hermaphroditism"
"2505","Ammannia prieuriana",28,65000,NA
"2506","Ammi majus",899,2532500,NA
"2507","Ammochloa palaestina",29,67500,NA
"2508","Ammodendron bifolium",12,32500,"hermaphroditism"
"2509","Ammodendron conollyi",10,22500,NA
"2510","Ammodendron eichwaldii",1,2500,NA
"2511","Ammoides pusilla",108,265000,NA
"2512","Ammopiptanthus mongolicus",8,15000,"hermaphroditism"
"2513","Ammosperma cinereum",1,2500,NA
"2514","Amomyrtella guilii",1,2500,NA
"2515","Amomyrtus luma",41,90000,NA
"2516","Amomyrtus meli",15,35000,NA
"2517","Amorimia amazonica",NA,NA,NA
"2518","Amorimia camporum",NA,NA,NA
"2519","Amorimia exotropica",NA,NA,NA
"2520","Amorimia kariniana",NA,NA,NA
"2521","Amorimia rigida",NA,NA,NA
"2522","Amorimia velutina",1,2500,NA
"2523","Amorpha apiculata",1,2500,"hermaphroditism"
"2524","Amorpha californica",35,107500,"hermaphroditism"
"2525","Amorpha canescens",491,1425000,"hermaphroditism"
"2526","Amorpha georgiana",3,7500,"hermaphroditism"
"2527","Amorpha nana",41,97500,"hermaphroditism"
"2528","Amorpha schwerinii",3,5000,"hermaphroditism"
"2529","Amorphophallus angolensis",NA,NA,NA
"2530","Amorphophallus paeoniifolius",277,672500,"monoecy"
"2531","Ampelocalamus actinotrichus",NA,NA,"hermaphroditism"
"2532","Ampelocalamus microphyllus",NA,NA,"hermaphroditism"
"2533","Ampelocalamus patellaris",NA,NA,"hermaphroditism"
"2534","Ampelocalamus scandens",NA,NA,"hermaphroditism"
"2535","Ampelocera cubensis",NA,NA,NA
"2536","Ampelocera edentula",39,87500,NA
"2537","Ampelocera glabra",NA,NA,NA
"2538","Ampelocera hottlei",6,15000,NA
"2539","Ampelocera longissima",6,12500,NA
"2540","Ampelocera macphersonii",12,27500,NA
"2541","Ampelocera macrocarpa",9,22500,NA
"2542","Ampelocera ruizii",NA,NA,NA
"2543","Ampelodesmos mauritanicus",144,385000,NA
"2544","Ampelopsis delavayana",6,12500,NA
"2545","Ampelosicyos humblotii",1,2500,NA
"2546","Ampelosicyos scandens",1,2500,NA
"2547","Ampelozizyphus amazonicus",2,5000,NA
"2548","Ampelozizyphus guaquirensis",1,2500,NA
"2549","Amperea xiphoclada",137,322500,"hermaphroditism"
"2550","Amphiasma luzuloides",NA,NA,NA
"2551","Amphiasma merenskyanum",NA,NA,NA
"2552","Amphiblemma cymosum",1,2500,NA
"2553","Amphiblemma molle",NA,NA,NA
"2554","Amphicarpaea bracteata",939,2667500,"hermaphroditism"
"2555","Amphicarpaea ferruginea",2,5000,"hermaphroditism"
"2556","Amphicarpum amphicarpon",9,17500,NA
"2557","Amphicarpum muehlenbergianum",24,50000,NA
"2558","Amphilophium aschersonii",NA,NA,NA
"2559","Amphilophium bauhinioides",1,2500,NA
"2560","Amphilophium crucigerum",168,417500,"hermaphroditism"
"2561","Amphilophium elongatum",6,12500,NA
"2562","Amphilophium frutescens",1,2500,NA
"2563","Amphilophium granulosum",2,5000,NA
"2564","Amphilophium magnoliifolium",6,15000,NA
"2565","Amphilophium nunezii",NA,NA,NA
"2566","Amphilophium paniculatum",49,120000,"hermaphroditism"
"2567","Amphilophium parkeri",1,2500,NA
"2568","Amphilophium rodriguesii",1,2500,NA
"2569","Amphimas ferrugineus",18,37500,NA
"2570","Amphimas pterocarpoides",49,115000,NA
"2571","Amphineurion marginatum",2,5000,"hermaphroditism"
"2572","Amphiodon effusus",3,7500,NA
"2573","Amphipogon amphipogonoides",13,25000,NA
"2574","Amphipogon caricinus",64,157500,NA
"2575","Amphipogon strictus",101,255000,NA
"2576","Amphipterygium adstringens",33,72500,NA
"2577","Amphirrhox longifolia",36,87500,NA
"2578","Amphistemon humbertii",NA,NA,NA
"2579","Amphistemon rakotonasolianus",NA,NA,NA
"2580","Amphithalea axillaris",3,7500,NA
"2581","Amphithalea biovulata",5,7500,NA
"2582","Amphithalea bowiei",2,5000,NA
"2583","Amphithalea cedarbergensis",2,2500,NA
"2584","Amphithalea ciliaris",5,12500,NA
"2585","Amphithalea dahlgrenii",NA,NA,NA
"2586","Amphithalea ericifolia",12,27500,NA
"2587","Amphithalea esterhuyseniae",NA,NA,NA
"2588","Amphithalea micrantha",3,7500,NA
"2589","Amphithalea monticola",2,2500,NA
"2590","Amphithalea muraltioides",5,10000,NA
"2591","Amphithalea oppositifolia",NA,NA,NA
"2592","Amphithalea phylicoides",4,10000,NA
"2593","Amphithalea tomentosa",5,15000,NA
"2594","Amphithalea villosa",4,10000,NA
"2595","Amphithalea violacea",10,22500,NA
"2596","Amphithalea virgata",4,7500,NA
"2597","Amphithalea williamsonii",1,2500,NA
"2598","Amphorocalyx latifolius",1,2500,NA
"2599","Amphorocalyx multiflorus",NA,NA,NA
"2600","Amphorocalyx rupestris",1,2500,NA
"2601","Amsonia elliptica",6,15000,"hermaphroditism"
"2602","Amsonia tabernaemontana",422,1125000,"hermaphroditism"
"2603","Amydrium humile",1,2500,"hermaphroditism"
"2604","Amyrea sambiranensis",NA,NA,NA
"2605","Anacardium excelsum",117,265000,NA
"2606","Anacardium occidentale",1176,2900000,"dioecy"
"2607","Anacardium parvifolium",1,2500,NA
"2608","Anadenanthera colubrina",91,222500,"hermaphroditism"
"2609","Anadenanthera peregrina",74,185000,NA
"2610","Anaheterotis pobeguinii",NA,NA,NA
"2611","Anaphyllopsis americana",9,20000,NA
"2612","Anaphyllum wightii",8,15000,NA
"2613","Anarrhinum corsicum",6,17500,NA
"2614","Anarrhinum duriminium",32,80000,NA
"2615","Anarrhinum forskaohlii",10,25000,NA
"2616","Anarrhinum laxiflorum",36,75000,NA
"2617","Anarrhinum longipedicellatum",7,12500,NA
"2618","Anarrhinum pedatum",6,12500,NA
"2619","Anarthrophyllum andicola",2,5000,NA
"2620","Anarthrophyllum burkartii",2,5000,NA
"2621","Anarthrophyllum cumingii",3,5000,NA
"2622","Anarthrophyllum desideratum",42,97500,NA
"2623","Anarthrophyllum patagonicum",NA,NA,NA
"2624","Anarthrophyllum rigidum",9,20000,NA
"2625","Anastatica hierochuntica",86,217500,NA
"2626","Anaxagorea javanica",5,12500,NA
"2627","Anaxagorea luzonensis",3,7500,"hermaphroditism"
"2628","Anaxagorea phaeocarpa",9,27500,NA
"2629","Anaxagorea silvatica",NA,NA,NA
"2630","Anchietea sellowiana",1,2500,NA
"2631","Anchomanes difformis",98,237500,NA
"2632","Ancistrothyrsus tessmannii",NA,NA,NA
"2633","Ancistrotropis firmula",27,60000,NA
"2634","Ancistrotropis peduncularis",41,102500,NA
"2635","Andeimalva chilensis",2,2500,NA
"2636","Andeimalva machupicchensis",NA,NA,NA
"2637","Andeimalva mandonii",2,2500,NA
"2638","Andeimalva spiciformis",NA,NA,NA
"2639","Andersonia sprengelioides",14,27500,NA
"2640","Andesanthus gleasonianus",NA,NA,NA
"2641","Andesanthus inopinatus",NA,NA,NA
"2642","Andesanthus lepidotus",63,142500,NA
"2643","Andesanthus silvestris",NA,NA,NA
"2644","Andesanthus wurdackii",1,2500,NA
"2645","Andira anthelmia",13,27500,NA
"2646","Andira carvalhoi",NA,NA,NA
"2647","Andira cordata",1,2500,NA
"2648","Andira coriacea",12,30000,NA
"2649","Andira cujabensis",3,5000,NA
"2650","Andira fraxinifolia",23,55000,NA
"2651","Andira galeottiana",17,32500,NA
"2652","Andira grandistipula",NA,NA,NA
"2653","Andira legalis",3,7500,NA
"2654","Andira macrothyrsa",5,12500,NA
"2655","Andira marauensis",NA,NA,NA
"2656","Andira micrantha",2,2500,NA
"2657","Andira multistipula",2,5000,NA
"2658","Andira nitida",4,10000,NA
"2659","Andira ormosioides",1,2500,NA
"2660","Andira praecox",NA,NA,NA
"2661","Andira surinamensis",34,75000,NA
"2662","Andira unifoliolata",1,2500,NA
"2663","Andira vermifuga",24,57500,NA
"2664","Andrachne aspera",13,27500,NA
"2665","Andrachne microphylla",7,15000,"monoecy"
"2666","Andrachne telephioides",143,360000,NA
"2667","Androcalymma glabrifolium",NA,NA,NA
"2668","Andromeda polifolia",NA,NA,"hermaphroditism"
"2669","Andropogon bicornis",146,342500,NA
"2670","Andropogon chinensis",165,402500,"hermaphroditism"
"2671","Andropogon distachyos",105,275000,"hermaphroditism"
"2672","Andropogon eucomus",71,177500,NA
"2673","Andropogon gayanus",747,1845000,NA
"2674","Andropogon gerardi",1134,3100000,NA
"2675","Andropogon glomeratus",114,270000,NA
"2676","Andropogon ternarius",281,720000,NA
"2677","Androsace adfinis",19,37500,"hermaphroditism"
"2678","Androsace albana",13,27500,"hermaphroditism"
"2679","Androsace alpina",68,190000,"hermaphroditism"
"2680","Androsace armeniaca",1,2500,NA
"2681","Androsace axillaris",2,5000,"hermaphroditism"
"2682","Androsace brevis",2,5000,"hermaphroditism"
"2683","Androsace bungeana",NA,NA,NA
"2684","Androsace chaixii",14,37500,"hermaphroditism"
"2685","Androsace chamaejasme",NA,NA,NA
"2686","Androsace ciliata",10,22500,NA
"2687","Androsace cuscutiformis",1,2500,"hermaphroditism"
"2688","Androsace cuttingii",1,2500,"hermaphroditism"
"2689","Androsace delavayi",14,35000,"hermaphroditism"
"2690","Androsace elatior",2,5000,"hermaphroditism"
"2691","Androsace erecta",17,40000,"hermaphroditism"
"2692","Androsace filiformis",803,2205000,"hermaphroditism"
"2693","Androsace globifera",1,2500,"hermaphroditism"
"2694","Androsace halleri",20,50000,NA
"2695","Androsace hausmannii",7,17500,"hermaphroditism"
"2696","Androsace hedreantha",NA,NA,NA
"2697","Androsace helvetica",59,160000,"hermaphroditism"
"2698","Androsace hookeriana",3,7500,"hermaphroditism"
"2699","Androsace komovensis",NA,NA,NA
"2700","Androsace laggeri",27,75000,NA
"2701","Androsace limprichtii",4,10000,"hermaphroditism"
"2702","Androsace mariae",11,30000,"hermaphroditism"
"2703","Androsace mathildae",1,2500,NA
"2704","Androsace maxima",668,1845000,"hermaphroditism"
"2705","Androsace minor",7,17500,"hermaphroditism"
"2706","Androsace nortonii",NA,NA,"hermaphroditism"
"2707","Androsace obtusifolia",52,145000,"hermaphroditism"
"2708","Androsace pubescens",25,67500,"hermaphroditism"
"2709","Androsace pyrenaica",7,17500,NA
"2710","Androsace rioxana",1,2500,NA
"2711","Androsace sempervivoides",13,30000,NA
"2712","Androsace septentrionalis",NA,NA,"hermaphroditism"
"2713","Androsace spinulifera",9,22500,"hermaphroditism"
"2714","Androsace stenophylla",1,2500,"hermaphroditism"
"2715","Androsace sublanata",NA,NA,"hermaphroditism"
"2716","Androsace triflora",NA,NA,NA
"2717","Androsace vitaliana",58,162500,"hermaphroditism"
"2718","Androsace wulfeniana",3,7500,"hermaphroditism"
"2719","Androsiphonia adenostegia",11,22500,NA
"2720","Androstachys johnsonii",15,37500,"hermaphroditism"
"2721","Androstoma empetrifolium",72,187500,NA
"2722","Androstoma verticillatum",10,22500,NA
"2723","Andrzeiowskia cardamine",1,2500,NA
"2724","Anelsonia eurycarpa",11,25000,"hermaphroditism"
"2725","Anemopaegma floridum",NA,NA,NA
"2726","Anemopaegma foetidum",1,2500,NA
"2727","Anemopaegma laeve",2,2500,NA
"2728","Anemopaegma robustum",1,2500,NA
"2729","Anemotrochus viridivenius",NA,NA,NA
"2730","Anerincleistus bracteatus",NA,NA,NA
"2731","Anerincleistus bullatus",NA,NA,NA
"2732","Anerincleistus dispar",NA,NA,NA
"2733","Anerincleistus echinatus",NA,NA,NA
"2734","Anerincleistus grandiflorus",NA,NA,NA
"2735","Anerincleistus hirsutus",NA,NA,NA
"2736","Anerincleistus hispidissimus",NA,NA,NA
"2737","Anerincleistus macranthus",NA,NA,NA
"2738","Anerincleistus macrophyllus",NA,NA,NA
"2739","Anerincleistus pauciflorus",NA,NA,NA
"2740","Anerincleistus phyllagathoides",NA,NA,NA
"2741","Anerincleistus purpureus",NA,NA,NA
"2742","Anerincleistus quintuplinervis",NA,NA,NA
"2743","Anerincleistus sertuliferum",NA,NA,NA
"2744","Anerincleistus setulosus",NA,NA,NA
"2745","Anethum graveolens",1285,3745000,"hermaphroditism"
"2746","Aneulophus africanus",1,2500,NA
"2747","Angadenia berteroi",15,27500,"hermaphroditism"
"2748","Angelesia splendens",1,2500,"hermaphroditism"
"2749","Angelica acutiloba",13,25000,"hermaphroditism"
"2750","Angelica ampla",12,30000,NA
"2751","Angelica anomala",100,257500,"hermaphroditism"
"2752","Angelica apaensis",NA,NA,NA
"2753","Angelica archangelica",1512,5070000,"hermaphroditism"
"2754","Angelica arguta",80,187500,NA
"2755","Angelica biserrata",1,2500,"hermaphroditism"
"2756","Angelica breweri",19,42500,NA
"2757","Angelica cartilaginomarginata",44,102500,"hermaphroditism"
"2758","Angelica cincta",121,282500,"hermaphroditism"
"2759","Angelica dahurica",142,375000,"hermaphroditism"
"2760","Angelica decursiva",127,340000,"hermaphroditism"
"2761","Angelica genuflexa",162,402500,"hermaphroditism"
"2762","Angelica gigas",29,70000,"hermaphroditism"
"2763","Angelica grayi",21,45000,NA
"2764","Angelica japonica",26,57500,NA
"2765","Angelica kangdingensis",NA,NA,"hermaphroditism"
"2766","Angelica keiskei",12,32500,NA
"2767","Angelica laxifoliata",NA,NA,"hermaphroditism"
"2768","Angelica lignescens",11,20000,NA
"2769","Angelica maowenensis",NA,NA,"hermaphroditism"
"2770","Angelica megaphylla",NA,NA,"hermaphroditism"
"2771","Angelica morii",5,10000,"hermaphroditism"
"2772","Angelica nitida",1,2500,"hermaphroditism"
"2773","Angelica paeoniifolia",NA,NA,"hermaphroditism"
"2774","Angelica pinnata",4,10000,NA
"2775","Angelica polymorpha",74,205000,"hermaphroditism"
"2776","Angelica pseudoselinum",NA,NA,"hermaphroditism"
"2777","Angelica pubescens",48,115000,NA
"2778","Angelica roseana",8,20000,NA
"2779","Angelica sinensis",NA,NA,"hermaphroditism"
"2780","Angelica sylvestris",3121,10867500,"hermaphroditism"
"2781","Angelica tianmuensis",NA,NA,"hermaphroditism"
"2782","Angelica valida",NA,NA,"hermaphroditism"
"2783","Angophora bakeri",31,60000,NA
"2784","Angophora costata",109,270000,NA
"2785","Angophora exul",1,2500,NA
"2786","Angophora floribunda",205,517500,NA
"2787","Angophora hispida",16,35000,NA
"2788","Angophora inopina",6,10000,NA
"2789","Angophora leiocarpa",115,245000,NA
"2790","Angophora melanoxylon",21,50000,NA
"2791","Angophora robur",5,10000,NA
"2792","Angophora subvelutina",84,187500,NA
"2793","Angophora woodsiana",27,57500,NA
"2794","Angostura granulosa",3,7500,NA
"2795","Angylocalyx braunii",NA,NA,NA
"2796","Angylocalyx oligophyllus",23,52500,NA
"2797","Angylocalyx pynaertii",5,10000,NA
"2798","Angylocalyx schumannianus",NA,NA,NA
"2799","Angylocalyx talbotii",1,2500,NA
"2800","Anisadenia pubescens",6,15000,"hermaphroditism"
"2801","Anisadenia saxatilis",4,10000,"hermaphroditism"
